Time [sec], Encoder [-], Position [rad], Speed [rad/s], Voltage [V], Current [A]
      1.83,        1250,         1.6565,      2.120256,      2.0491,        0.06
      1.84,        1266,         1.6777,      2.120268,      2.0500,        0.05
      1.85,        1282,         1.6989,      2.120256,      2.0509,        0.05
      1.86,        1299,         1.7214,      2.252793,      2.0491,        0.05
      1.87,        1315,         1.7426,      2.120256,      2.0500,        0.05
      1.88,        1331,         1.7638,      2.120268,      2.0509,        0.05
      1.89,        1348,         1.7863,      2.252769,      2.0528,        0.05
      1.90,        1364,         1.8075,      2.120268,      2.0509,        0.04
      1.91,        1381,         1.8301,      2.252781,      2.0519,        0.05
      1.92,        1398,         1.8526,      2.252769,      2.0528,        0.06
      1.93,        1414,         1.8738,      2.120268,      2.0519,        0.05
      1.94,        1431,         1.8963,      2.252769,      2.0519,        0.05
      1.95,        1448,         1.9188,      2.252781,      2.0538,        0.05
      1.96,        1465,         1.9414,      2.252781,      2.0538,        0.05
      1.97,        1481,         1.9626,      2.120256,      2.0528,        0.04
      1.98,        1498,         1.9851,      2.252793,      2.0509,        0.05
      1.99,        1514,         2.0063,      2.120256,      2.0547,        0.05
      2.00,        1531,         2.0288,      2.252793,      2.0500,        0.05
      2.01,        1548,         2.0514,      2.252769,      2.0538,        0.04
      2.02,        1564,         2.0726,      2.120256,      2.0509,        0.05
      2.03,        1580,         2.0938,      2.120256,      2.0528,        0.04
      2.04,        1597,         2.1163,      2.252769,      2.0519,        0.05
      2.05,        1613,         2.1375,      2.120280,      2.0509,        0.05
      2.06,        1630,         2.1600,      2.252769,      2.0509,        0.05
      2.07,        1646,         2.1812,      2.120280,      2.0631,        0.04
      2.08,        1663,         2.2037,      2.252769,      2.0500,        0.05
      2.09,        1679,         2.2250,      2.120280,      2.0500,        0.02
      2.10,        1696,         2.2475,      2.252769,      2.0519,        0.05
      2.11,        1712,         2.2687,      2.120233,      2.0500,        0.04
      2.12,        1729,         2.2912,      2.252793,      2.0491,        0.05
      2.13,        1745,         2.3124,      2.120256,      2.0481,        0.03
      2.14,        1761,         2.3336,      2.120280,      2.0481,        0.04
      2.15,        1778,         2.3561,      2.252769,      2.0481,        0.05
      2.16,        1794,         2.3773,      2.120280,      2.0491,        0.05
      2.17,        1810,         2.3985,      2.120233,      2.0519,        0.04
      2.18,        1827,         2.4211,      2.252793,      2.0491,        0.03
